Student Name,College / University Name,Degree,Specialization,Graduation Year,Location,Skills,Certifications,Internship Experience,LinkedIn Profile URL
Vikram Chawla,XLRI Jamshedpur,MBA,Human Resources,2025,"Bengaluru, Karnataka","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",None,None,https://www.linkedin.com/in/vikram-chawla-692
Amit Nair,IIM Bangalore,BBA,General Management,2024,"Mumbai, Maharashtra","Business Strategy, Leadership, Financial Accounting, Operations Management",Project Management Professional (PMP) Basics,Financial Analyst Intern at Amazon (4 Months),https://www.linkedin.com/in/amit-nair-499
Ananya Das,Christ University,BBA,General Management,2027,"Chennai, Tamil Nadu","Business Strategy, Leadership, Financial Accounting, Operations Management",Project Management Professional (PMP) Basics,None,https://www.linkedin.com/in/ananya-das-611
Meera Mehta,FMS Delhi,MBA,Human Resources,2027,"Mumbai, Maharashtra","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",None,Financial Analyst Intern at KPMG (2 Months),https://www.linkedin.com/in/meera-mehta-181
Ananya Patel,Delhi University,MBA,Human Resources,2027,"Mumbai, Maharashtra","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",None,None,https://www.linkedin.com/in/ananya-patel-535
Rohan Mishra,Shaheed Sukhdev College of Business Studies,MBA,Finance,2025,"Bengaluru, Karnataka","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",CFA Level 1,Operations Consultant Intern at ICICI Bank (2 Months),https://www.linkedin.com/in/rohan-mishra-186
Aarav Singh,FMS Delhi,MBA,Operations & Supply Chain,2024,"Hyderabad, Telangana","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,Operations Consultant Intern at ICICI Bank (4 Months),https://www.linkedin.com/in/aarav-singh-461
Gaurav Reddy,XLRI Jamshedpur,MBA,Human Resources,2024,"Chennai, Tamil Nadu","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",Google Project Management Certificate,Operations Consultant Intern at Reliance Industries (6 Months),https://www.linkedin.com/in/gaurav-reddy-602
Gaurav Chawla,SPJIMR Mumbai,MBA,Operations & Supply Chain,2025,"Pune, Maharashtra","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",Google Project Management Certificate,Financial Analyst Intern at EY (4 Months),https://www.linkedin.com/in/gaurav-chawla-224
Vikram Sen,Delhi University,BBA,General Management,2026,"Bengaluru, Karnataka","Business Strategy, Leadership, Financial Accounting, Operations Management",None,HR Generalist Intern at Amazon (6 Months),https://www.linkedin.com/in/vikram-sen-618
Rahul Patel,FMS Delhi,BBA,Marketing,2024,Delhi NCR,"Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",Google Digital Marketing Certified,Financial Analyst Intern at Flipkart (6 Months),https://www.linkedin.com/in/rahul-patel-550
Tanvi Sen,FMS Delhi,MBA,Marketing,2024,"Pune, Maharashtra","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",Product Management Certificate,Operations Consultant Intern at Reliance Industries (6 Months),https://www.linkedin.com/in/tanvi-sen-834
Amit Das,Christ University,MBA,Marketing,2026,"Pune, Maharashtra","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",None,Business Analyst Intern at PwC (2 Months),https://www.linkedin.com/in/amit-das-236
Siddharth Das,Symbiosis International University,MBA,Operations & Supply Chain,2024,"Bengaluru, Karnataka","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,Operations Consultant Intern at Deloitte (4 Months),https://www.linkedin.com/in/siddharth-das-338
Isha Joshi,FMS Delhi,MBA,Human Resources,2025,"Chennai, Tamil Nadu","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",None,None,https://www.linkedin.com/in/isha-joshi-919
Meera Sharma,IIM Bangalore,MBA,Human Resources,2026,"Bengaluru, Karnataka","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",None,Business Analyst Intern at Reliance Industries (6 Months),https://www.linkedin.com/in/meera-sharma-179
Sneha Mehta,Delhi University,BBA,General Management,2027,"Mumbai, Maharashtra","Business Strategy, Leadership, Financial Accounting, Operations Management",None,Marketing Intern at PwC (2 Months),https://www.linkedin.com/in/sneha-mehta-409
Rahul Das,SPJIMR Mumbai,MBA,Operations & Supply Chain,2026,Delhi NCR,"Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,HR Generalist Intern at EY (3 Months),https://www.linkedin.com/in/rahul-das-557
Riya Kapoor,IIM Bangalore,MBA,Operations & Supply Chain,2026,"Mumbai, Maharashtra","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,Financial Analyst Intern at ICICI Bank (3 Months),https://www.linkedin.com/in/riya-kapoor-630
Meera Patel,Shaheed Sukhdev College of Business Studies,BBA,Marketing,2026,Delhi NCR,"Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",Google Digital Marketing Certified,Business Analyst Intern at Deloitte (2 Months),https://www.linkedin.com/in/meera-patel-469
Isha Mehta,Symbiosis International University,MBA,Management Consulting,2024,"Chennai, Tamil Nadu","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",Google Project Management Certificate,Operations Consultant Intern at HDFC Bank (3 Months),https://www.linkedin.com/in/isha-mehta-769
Rahul Mehta,XLRI Jamshedpur,BBA,Finance,2027,"Mumbai, Maharashtra","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",NCFM Certification,HR Generalist Intern at KPMG (2 Months),https://www.linkedin.com/in/rahul-mehta-139
Siddharth Sen,NMIMS Mumbai,BBA,Digital Marketing,2024,"Bengaluru, Karnataka","Social Media Marketing, Google Ads, Content Strategy, Copywriting",Google Project Management Certificate,Marketing Intern at EY (3 Months),https://www.linkedin.com/in/siddharth-sen-943
Aditya Joshi,Shaheed Sukhdev College of Business Studies,MBA,Business Analytics,2027,"Pune, Maharashtra","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",None,Business Analyst Intern at HDFC Bank (6 Months),https://www.linkedin.com/in/aditya-joshi-819
Tanvi Sharma,Delhi University,MBA,Operations & Supply Chain,2025,"Bengaluru, Karnataka","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",Google Project Management Certificate,HR Generalist Intern at PwC (6 Months),https://www.linkedin.com/in/tanvi-sharma-698
Arjun Sen,NMIMS Mumbai,MBA,Management Consulting,2026,"Pune, Maharashtra","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,Marketing Intern at Flipkart (2 Months),https://www.linkedin.com/in/arjun-sen-795
Riya Patel,Shaheed Sukhdev College of Business Studies,BBA,Finance,2024,"Bengaluru, Karnataka","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",CFA Level 1,Business Analyst Intern at Deloitte (5 Months),https://www.linkedin.com/in/riya-patel-120
Siddharth Das,Shaheed Sukhdev College of Business Studies,MBA,Business Analytics,2025,"Hyderabad, Telangana","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",Google Data Analytics Professional,Financial Analyst Intern at KPMG (3 Months),https://www.linkedin.com/in/siddharth-das-306
Tanvi Sen,IIM Ahmedabad,BBA,Digital Marketing,2027,"Hyderabad, Telangana","Social Media Marketing, Google Ads, Content Strategy, Copywriting",Google Project Management Certificate,Financial Analyst Intern at Amazon (5 Months),https://www.linkedin.com/in/tanvi-sen-120
Kriti Verma,SPJIMR Mumbai,MBA,Finance,2026,"Mumbai, Maharashtra","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",CFA Level 1,Business Analyst Intern at HDFC Bank (6 Months),https://www.linkedin.com/in/kriti-verma-813
Arjun Chawla,IIM Calcutta,MBA,Marketing,2024,"Mumbai, Maharashtra","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",None,HR Generalist Intern at Deloitte (4 Months),https://www.linkedin.com/in/arjun-chawla-501
Meera Patel,SPJIMR Mumbai,MBA,Management Consulting,2025,"Mumbai, Maharashtra","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,None,https://www.linkedin.com/in/meera-patel-885
Aditya Singh,Symbiosis International University,BBA,Marketing,2026,"Bengaluru, Karnataka","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",HubSpot Inbound Marketing,None,https://www.linkedin.com/in/aditya-singh-700
Meera Joshi,XLRI Jamshedpur,BBA,Digital Marketing,2025,"Pune, Maharashtra","Social Media Marketing, Google Ads, Content Strategy, Copywriting",None,Operations Consultant Intern at HDFC Bank (2 Months),https://www.linkedin.com/in/meera-joshi-793
Ananya Chawla,IIM Bangalore,BBA,Finance,2027,"Mumbai, Maharashtra","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",CFA Level 1,Marketing Intern at Tata Consultancy Services (3 Months),https://www.linkedin.com/in/ananya-chawla-195
Diya Joshi,NMIMS Mumbai,BBA,Data Analytics,2024,"Mumbai, Maharashtra","SQL, Excel, Tableau, Data Cleaning, Python",Google Data Analytics Professional,None,https://www.linkedin.com/in/diya-joshi-393
Vikram Reddy,XLRI Jamshedpur,MBA,Finance,2024,"Mumbai, Maharashtra","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",NCFM Certification,None,https://www.linkedin.com/in/vikram-reddy-998
Rohan Singh,FMS Delhi,MBA,Marketing,2026,"Bengaluru, Karnataka","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",None,HR Generalist Intern at Amazon (4 Months),https://www.linkedin.com/in/rohan-singh-975
Pooja Sen,Shaheed Sukhdev College of Business Studies,MBA,Marketing,2027,"Bengaluru, Karnataka","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",HubSpot Inbound Marketing,Marketing Intern at Amazon (2 Months),https://www.linkedin.com/in/pooja-sen-118
Amit Kapoor,Delhi University,MBA,Marketing,2026,Delhi NCR,"Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",None,None,https://www.linkedin.com/in/amit-kapoor-561
Diya Das,Shaheed Sukhdev College of Business Studies,BBA,General Management,2024,"Chennai, Tamil Nadu","Business Strategy, Leadership, Financial Accounting, Operations Management",None,Financial Analyst Intern at EY (4 Months),https://www.linkedin.com/in/diya-das-129
Amit Kapoor,SPJIMR Mumbai,MBA,Business Analytics,2026,Delhi NCR,"Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",SQL Advanced Certificate,Business Analyst Intern at Tata Consultancy Services (2 Months),https://www.linkedin.com/in/amit-kapoor-916
Diya Nair,Shaheed Sukhdev College of Business Studies,MBA,Marketing,2024,"Bengaluru, Karnataka","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",None,Business Analyst Intern at Deloitte (5 Months),https://www.linkedin.com/in/diya-nair-241
Diya Das,Delhi University,MBA,Operations & Supply Chain,2027,"Hyderabad, Telangana","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,Business Analyst Intern at HDFC Bank (5 Months),https://www.linkedin.com/in/diya-das-621
Aditya Mehta,IIM Bangalore,MBA,Management Consulting,2026,"Chennai, Tamil Nadu","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,Business Analyst Intern at Tata Consultancy Services (6 Months),https://www.linkedin.com/in/aditya-mehta-706
Riya Reddy,IIM Bangalore,BBA,General Management,2027,"Chennai, Tamil Nadu","Business Strategy, Leadership, Financial Accounting, Operations Management",Certified ScrumMaster (CSM),Operations Consultant Intern at Flipkart (6 Months),https://www.linkedin.com/in/riya-reddy-843
Sneha Gupta,Christ University,MBA,Marketing,2026,"Mumbai, Maharashtra","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",None,None,https://www.linkedin.com/in/sneha-gupta-775
Riya Sen,XLRI Jamshedpur,BBA,Digital Marketing,2026,Delhi NCR,"Social Media Marketing, Google Ads, Content Strategy, Copywriting",Google Project Management Certificate,Operations Consultant Intern at PwC (4 Months),https://www.linkedin.com/in/riya-sen-165
Vikram Das,Shaheed Sukhdev College of Business Studies,MBA,Marketing,2024,"Pune, Maharashtra","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",HubSpot Inbound Marketing,None,https://www.linkedin.com/in/vikram-das-334
Ananya Sharma,Shaheed Sukhdev College of Business Studies,MBA,Human Resources,2024,Delhi NCR,"Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",None,Business Analyst Intern at Amazon (3 Months),https://www.linkedin.com/in/ananya-sharma-912
Meera Reddy,IIM Calcutta,BBA,Finance,2027,"Pune, Maharashtra","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",NCFM Certification,None,https://www.linkedin.com/in/meera-reddy-254
Kriti Sen,IIM Ahmedabad,BBA,Finance,2024,Delhi NCR,"Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",Financial Modeling & Valuation Analyst (FMVA),None,https://www.linkedin.com/in/kriti-sen-217
Amit Kapoor,SPJIMR Mumbai,MBA,Marketing,2024,"Chennai, Tamil Nadu","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",HubSpot Inbound Marketing,Marketing Intern at Reliance Industries (4 Months),https://www.linkedin.com/in/amit-kapoor-434
Pooja Patel,Christ University,BBA,Data Analytics,2024,"Mumbai, Maharashtra","SQL, Excel, Tableau, Data Cleaning, Python",IBM Data Science Professional Certificate,None,https://www.linkedin.com/in/pooja-patel-434
Rahul Reddy,FMS Delhi,MBA,Business Analytics,2024,"Chennai, Tamil Nadu","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",Google Data Analytics Professional,HR Generalist Intern at ICICI Bank (3 Months),https://www.linkedin.com/in/rahul-reddy-953
Sneha Kapoor,XLRI Jamshedpur,MBA,Operations & Supply Chain,2026,"Chennai, Tamil Nadu","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",Google Project Management Certificate,HR Generalist Intern at Tata Consultancy Services (4 Months),https://www.linkedin.com/in/sneha-kapoor-626
Arjun Kapoor,FMS Delhi,MBA,Human Resources,2025,"Mumbai, Maharashtra","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",Google Project Management Certificate,Operations Consultant Intern at PwC (5 Months),https://www.linkedin.com/in/arjun-kapoor-541
Isha Mehta,IIM Ahmedabad,MBA,Human Resources,2025,"Pune, Maharashtra","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",None,None,https://www.linkedin.com/in/isha-mehta-347
Tanvi Nair,Christ University,BBA,Marketing,2026,"Mumbai, Maharashtra","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",None,HR Generalist Intern at PwC (2 Months),https://www.linkedin.com/in/tanvi-nair-637
Siddharth Verma,Christ University,MBA,Business Analytics,2026,"Pune, Maharashtra","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",None,Financial Analyst Intern at HDFC Bank (2 Months),https://www.linkedin.com/in/siddharth-verma-816
Meera Sharma,Delhi University,MBA,Operations & Supply Chain,2026,Delhi NCR,"Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,Financial Analyst Intern at Flipkart (5 Months),https://www.linkedin.com/in/meera-sharma-491
Aditya Reddy,Delhi University,BBA,Finance,2027,"Pune, Maharashtra","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",CFA Level 1,Financial Analyst Intern at HDFC Bank (5 Months),https://www.linkedin.com/in/aditya-reddy-447
Aarav Reddy,Delhi University,MBA,Finance,2024,"Chennai, Tamil Nadu","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",None,Operations Consultant Intern at Deloitte (6 Months),https://www.linkedin.com/in/aarav-reddy-584
Rahul Mehta,SPJIMR Mumbai,MBA,Business Analytics,2025,"Mumbai, Maharashtra","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",None,HR Generalist Intern at PwC (2 Months),https://www.linkedin.com/in/rahul-mehta-750
Sneha Mehta,SPJIMR Mumbai,MBA,Management Consulting,2025,"Bengaluru, Karnataka","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,Operations Consultant Intern at KPMG (3 Months),https://www.linkedin.com/in/sneha-mehta-275
Arjun Joshi,Delhi University,MBA,Business Analytics,2026,Delhi NCR,"Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",None,Operations Consultant Intern at ICICI Bank (2 Months),https://www.linkedin.com/in/arjun-joshi-567
Pooja Gupta,Delhi University,BBA,Marketing,2026,"Bengaluru, Karnataka","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",None,Operations Consultant Intern at Tata Consultancy Services (5 Months),https://www.linkedin.com/in/pooja-gupta-983
Siddharth Das,XLRI Jamshedpur,MBA,Finance,2026,"Pune, Maharashtra","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",NCFM Certification,Financial Analyst Intern at Amazon (5 Months),https://www.linkedin.com/in/siddharth-das-771
Rahul Chawla,IIM Bangalore,MBA,Marketing,2027,"Chennai, Tamil Nadu","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",None,Operations Consultant Intern at Reliance Industries (4 Months),https://www.linkedin.com/in/rahul-chawla-791
Rahul Das,Christ University,BBA,Finance,2025,"Chennai, Tamil Nadu","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",NCFM Certification,Business Analyst Intern at Amazon (3 Months),https://www.linkedin.com/in/rahul-das-881
Pooja Patel,NMIMS Mumbai,BBA,Finance,2026,"Mumbai, Maharashtra","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",NCFM Certification,Operations Consultant Intern at Reliance Industries (4 Months),https://www.linkedin.com/in/pooja-patel-512
Gaurav Sen,IIM Bangalore,MBA,Operations & Supply Chain,2026,"Hyderabad, Telangana","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,Financial Analyst Intern at HDFC Bank (3 Months),https://www.linkedin.com/in/gaurav-sen-544
Riya Sharma,IIM Ahmedabad,MBA,Management Consulting,2025,"Chennai, Tamil Nadu","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",Google Project Management Certificate,None,https://www.linkedin.com/in/riya-sharma-998
Aditya Nair,FMS Delhi,MBA,Finance,2026,"Chennai, Tamil Nadu","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",CFA Level 1,HR Generalist Intern at Tata Consultancy Services (6 Months),https://www.linkedin.com/in/aditya-nair-239
Meera Gupta,SPJIMR Mumbai,BBA,General Management,2024,"Hyderabad, Telangana","Business Strategy, Leadership, Financial Accounting, Operations Management",None,HR Generalist Intern at Tata Consultancy Services (5 Months),https://www.linkedin.com/in/meera-gupta-589
Rahul Joshi,IIM Calcutta,MBA,Operations & Supply Chain,2027,"Bengaluru, Karnataka","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,Business Analyst Intern at EY (6 Months),https://www.linkedin.com/in/rahul-joshi-441
Siddharth Verma,IIM Ahmedabad,MBA,Business Analytics,2025,Delhi NCR,"Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",Google Data Analytics Professional,HR Generalist Intern at Amazon (3 Months),https://www.linkedin.com/in/siddharth-verma-617
Tanvi Singh,NMIMS Mumbai,MBA,Marketing,2026,"Mumbai, Maharashtra","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",HubSpot Inbound Marketing,HR Generalist Intern at Deloitte (4 Months),https://www.linkedin.com/in/tanvi-singh-594
Tanvi Gupta,Symbiosis International University,MBA,Marketing,2025,"Pune, Maharashtra","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",Google Digital Marketing Certified,None,https://www.linkedin.com/in/tanvi-gupta-358
Rohan Mishra,Symbiosis International University,MBA,Management Consulting,2024,"Pune, Maharashtra","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,HR Generalist Intern at HDFC Bank (6 Months),https://www.linkedin.com/in/rohan-mishra-457
Sneha Patel,Delhi University,MBA,Human Resources,2024,"Hyderabad, Telangana","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",None,HR Generalist Intern at ICICI Bank (3 Months),https://www.linkedin.com/in/sneha-patel-300
Diya Gupta,IIM Ahmedabad,MBA,Business Analytics,2026,"Pune, Maharashtra","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",Microsoft Certified: Power BI Data Analyst,None,https://www.linkedin.com/in/diya-gupta-886
Siddharth Sharma,SPJIMR Mumbai,MBA,Management Consulting,2025,"Bengaluru, Karnataka","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,HR Generalist Intern at ICICI Bank (5 Months),https://www.linkedin.com/in/siddharth-sharma-666
Arjun Gupta,XLRI Jamshedpur,MBA,Management Consulting,2026,"Mumbai, Maharashtra","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",Google Project Management Certificate,Business Analyst Intern at Tata Consultancy Services (5 Months),https://www.linkedin.com/in/arjun-gupta-365
Riya Patel,Symbiosis International University,MBA,Finance,2027,"Hyderabad, Telangana","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",None,None,https://www.linkedin.com/in/riya-patel-274
Aarav Nair,Christ University,BBA,Digital Marketing,2027,"Pune, Maharashtra","Social Media Marketing, Google Ads, Content Strategy, Copywriting",Google Project Management Certificate,Financial Analyst Intern at Flipkart (5 Months),https://www.linkedin.com/in/aarav-nair-152
Aarav Gupta,Shaheed Sukhdev College of Business Studies,MBA,Operations & Supply Chain,2024,"Chennai, Tamil Nadu","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,Marketing Intern at Flipkart (6 Months),https://www.linkedin.com/in/aarav-gupta-366
Aditya Reddy,Delhi University,MBA,Business Analytics,2025,"Pune, Maharashtra","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",SQL Advanced Certificate,Marketing Intern at ICICI Bank (6 Months),https://www.linkedin.com/in/aditya-reddy-136
Rahul Mehta,SPJIMR Mumbai,MBA,Marketing,2024,"Mumbai, Maharashtra","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",Product Management Certificate,None,https://www.linkedin.com/in/rahul-mehta-866
Arjun Joshi,IIM Bangalore,MBA,Human Resources,2025,"Pune, Maharashtra","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",None,Operations Consultant Intern at Tata Consultancy Services (3 Months),https://www.linkedin.com/in/arjun-joshi-691
Meera Patel,Christ University,BBA,Finance,2027,"Bengaluru, Karnataka","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",None,Operations Consultant Intern at Flipkart (2 Months),https://www.linkedin.com/in/meera-patel-345
Aarav Sen,SPJIMR Mumbai,MBA,Business Analytics,2025,"Bengaluru, Karnataka","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",Microsoft Certified: Power BI Data Analyst,Operations Consultant Intern at Deloitte (4 Months),https://www.linkedin.com/in/aarav-sen-631
Aarav Reddy,IIM Calcutta,MBA,Human Resources,2024,"Chennai, Tamil Nadu","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",Google Project Management Certificate,Business Analyst Intern at Reliance Industries (3 Months),https://www.linkedin.com/in/aarav-reddy-695
Arjun Mehta,IIM Ahmedabad,MBA,Management Consulting,2024,"Bengaluru, Karnataka","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,Operations Consultant Intern at Tata Consultancy Services (5 Months),https://www.linkedin.com/in/arjun-mehta-170
Riya Reddy,IIM Bangalore,MBA,Business Analytics,2026,"Bengaluru, Karnataka","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",Google Data Analytics Professional,Marketing Intern at Flipkart (6 Months),https://www.linkedin.com/in/riya-reddy-909
Amit Gupta,Delhi University,MBA,Operations & Supply Chain,2025,"Bengaluru, Karnataka","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",Google Project Management Certificate,HR Generalist Intern at PwC (2 Months),https://www.linkedin.com/in/amit-gupta-999
Meera Das,NMIMS Mumbai,MBA,Finance,2027,"Hyderabad, Telangana","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",NCFM Certification,None,https://www.linkedin.com/in/meera-das-988
Sneha Patel,FMS Delhi,MBA,Operations & Supply Chain,2026,"Pune, Maharashtra","Supply Chain Optimization, Lean Six Sigma, Logistics, Inventory Management",None,HR Generalist Intern at Reliance Industries (6 Months),https://www.linkedin.com/in/sneha-patel-947
Rahul Verma,Delhi University,BBA,Finance,2027,"Hyderabad, Telangana","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",CFA Level 1,Financial Analyst Intern at ICICI Bank (2 Months),https://www.linkedin.com/in/rahul-verma-201
Diya Patel,Delhi University,MBA,Finance,2027,"Chennai, Tamil Nadu","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",None,None,https://www.linkedin.com/in/diya-patel-255
Tanvi Sharma,IIM Ahmedabad,BBA,General Management,2026,"Chennai, Tamil Nadu","Business Strategy, Leadership, Financial Accounting, Operations Management",Project Management Professional (PMP) Basics,Marketing Intern at EY (3 Months),https://www.linkedin.com/in/tanvi-sharma-595
